time_utc,activity,target_id,station_id,duration_sec,power_W,battery_SOC,data_MB
2026-02-12T23:48:10.373938+00:00,OBSERVE,target_cairo,-,469.0,5.0,0.967,50.0
2026-02-12T23:56:00.373938+00:00,OBSERVE,target_moscow,-,260.7,5.0,0.949,50.0
2026-02-13T00:07:30.232128+00:00,OBSERVE,target_beijing,-,440.0,5.0,0.919,50.0
2026-02-13T00:14:51.232128+00:00,OBSERVE,target_tokyo,-,317.3,5.0,0.945,50.0
2026-02-13T00:56:44.485010+00:00,DOWNLINK,-,gs_santiago,510.0,8.0,0.888,-127.5
2026-02-13T01:05:15.485010+00:00,OBSERVE,target_saopaulo,-,356.5,5.0,0.975,50.0
2026-02-13T01:29:16.793042+00:00,OBSERVE,target_london,-,180.0,5.0,0.963,50.0
2026-02-13T01:32:41.094414+00:00,OBSERVE,target_moscow,-,470.0,5.0,0.967,50.0
2026-02-13T01:47:00.232128+00:00,OBSERVE,target_beijing,-,470.0,5.0,0.935,50.0
2026-02-13T02:10:47.649994+00:00,OBSERVE,target_sydney,-,230.0,5.0,0.978,50.0
2026-02-13T02:35:44.485010+00:00,DOWNLINK,-,gs_santiago,610.0,8.0,0.932,-152.5
2026-02-13T02:45:55.485010+00:00,OBSERVE,target_saopaulo,-,126.5,5.0,0.991,50.0
2026-02-13T03:05:46.793042+00:00,OBSERVE,target_london,-,470.0,5.0,0.967,50.0
2026-02-13T03:13:37.793042+00:00,OBSERVE,target_moscow,-,383.3,5.0,0.973,50.0
2026-02-13T03:47:47.649994+00:00,OBSERVE,target_sydney,-,490.0,5.0,0.939,50.0
2026-02-13T04:44:56.793042+00:00,OBSERVE,target_london,-,500.0,5.0,0.965,50.0
2026-02-13T04:53:17.793042+00:00,OBSERVE,target_moscow,-,343.3,5.0,0.976,50.0
2026-02-13T05:30:17.649994+00:00,OBSERVE,target_sydney,-,210.0,5.0,0.962,50.0
2026-02-13T06:09:52.799343+00:00,DOWNLINK,-,gs_wallops,570.0,8.0,0.937,-142.5
2026-02-13T06:24:46.793042+00:00,OBSERVE,target_london,-,500.0,5.0,0.965,50.0
2026-02-13T06:33:07.793042+00:00,OBSERVE,target_moscow,-,183.3,5.0,0.987,50.0
2026-02-13T06:36:12.094414+00:00,OBSERVE,target_cairo,-,257.3,5.0,0.969,50.0
2026-02-13T07:49:12.799343+00:00,DOWNLINK,-,gs_wallops,590.0,8.0,0.904,-147.5
2026-02-13T08:04:26.793042+00:00,OBSERVE,target_london,-,470.0,5.0,0.967,50.0
2026-02-13T08:13:09.373938+00:00,OBSERVE,target_cairo,-,480.0,5.0,0.967,50.0
2026-02-13T09:31:02.799343+00:00,DOWNLINK,-,gs_wallops,430.0,8.0,0.919,-107.5
2026-02-13T09:45:36.793042+00:00,OBSERVE,target_london,-,190.0,5.0,0.987,50.0
2026-02-13T10:32:07.649994+00:00,OBSERVE,target_sydney,-,440.0,5.0,0.969,50.0
2026-02-13T11:12:42.799343+00:00,DOWNLINK,-,gs_wallops,380.0,8.0,0.958,-95.0
2026-02-13T12:11:37.649994+00:00,OBSERVE,target_sydney,-,450.0,5.0,0.969,50.0
2026-02-13T12:52:02.799343+00:00,DOWNLINK,-,gs_wallops,550.0,8.0,0.939,-137.5
2026-02-13T14:31:32.799343+00:00,DOWNLINK,-,gs_wallops,600.0,8.0,0.933,-150.0
2026-02-13T14:52:11.940153+00:00,OBSERVE,target_saopaulo,-,300.0,5.0,0.979,50.0
2026-02-13T15:43:58.508606+00:00,OBSERVE,target_tokyo,-,460.0,5.0,0.968,50.0
2026-02-13T16:13:52.799343+00:00,DOWNLINK,-,gs_wallops,180.0,8.0,0.98,-45.0
2026-02-13T16:30:11.940153+00:00,OBSERVE,target_saopaulo,-,460.0,5.0,0.968,50.0
2026-02-13T17:21:00.232128+00:00,OBSERVE,target_beijing,-,410.0,5.0,0.972,50.0
2026-02-13T17:27:51.232128+00:00,OBSERVE,target_tokyo,-,197.3,5.0,0.986,50.0
2026-02-13T18:06:44.485010+00:00,DOWNLINK,-,gs_santiago,610.0,8.0,0.919,-152.5
2026-02-13T18:59:50.232128+00:00,OBSERVE,target_beijing,-,480.0,5.0,0.967,50.0
2026-02-13T19:47:44.485010+00:00,DOWNLINK,-,gs_santiago,480.0,8.0,0.947,-120.0
2026-02-13T20:41:40.232128+00:00,OBSERVE,target_beijing,-,320.0,5.0,0.978,50.0
2026-02-13T22:04:39.373938+00:00,OBSERVE,target_cairo,-,330.0,5.0,0.977,50.0
2026-02-13T22:23:00.232128+00:00,OBSERVE,target_beijing,-,270.0,5.0,0.981,50.0
2026-02-13T22:27:48.508606+00:00,OBSERVE,target_tokyo,-,340.0,5.0,0.976,50.0
2026-02-13T23:14:04.485010+00:00,DOWNLINK,-,gs_santiago,70.0,8.0,0.969,-17.5
